     17     12      0.02       c/a = 0.6425   delta = a^2/4(3c)^2 eta = 5/6-2delta nu = 1/3+delta
  0.0       0.5      -0.5         0.0       0.40062  -0.40062   20       Fp       fpk      K
  0.0       0.40062  -0.40062     0.0       0.0       0.0       40       K        Lambda   Gamma
  0.0       0.0       0.0         0.20031   0.20031  -0.40062   40       Gamma    Sigma    M
  0.20031   0.20031  -0.40062     0.0       0.40062  -0.40062   20       M        T        K
  0.0       0.0       0.0         0.5       0.5       0.5       10       Gamma    Lambda   Z
  0.5       0.5       0.5         0.59938   0.30125   0.59938   10       Z        zp       P1
  0.59938   0.30125   0.59938     0.5       0.0       0.5       10       P1       pf       F
  0.5       0.0       0.5         0.40062  -0.30125   0.40062   10       F        fp       P2
  0.40062  -0.30125   0.40062    -0.40062  -0.69875  -0.40062   10       P2       L1       P
 -0.40062  -0.69875  -0.40062    -0.5      -0.5      -0.5       20       P        pz       Z
  0.30125   0.5       0.30125     0.0       0.5       0.0       20       B1       bl       L
  0.0       0.5       0.0         0.0       0.0       0.0       20       L        lg       Gamma
  0.0       0.0       0.0         0.5       0.5       0.0       20       Gamma    gf       F
  0.5       0.5       0.0         0.40062   0.59938   0.0       10       F        fy       Q
  0.40062   0.59938   0.0         0.0       0.5       0.0       20       Q        q        L
  0.0       0.5       0.0         0.5       0.59938   0.30125   20       L        lb       B
  0.5       0.59938   0.30125     0.5       0.5       0.5       20       B        bz       Z
